League,League Logo,League Flag,Home Team,Home Logo,Away Team,Away Logo,Home Score,Away Score
Liga Premier Serie A,https://media.api-sports.io/football/leagues/722.png,https://media.api-sports.io/flags/mx.svg,Jaguares de Chiapas,https://media.api-sports.io/football/teams/2293.png,Neza,https://media.api-sports.io/football/teams/26527.png,6,1
Liga Nacional,https://media.api-sports.io/football/leagues/339.png,https://media.api-sports.io/flags/gt.svg,Municipal,https://media.api-sports.io/football/teams/3665.png,Marquense,https://media.api-sports.io/football/teams/3643.png,1,0
Primera División,https://media.api-sports.io/football/leagues/281.png,https://media.api-sports.io/flags/pe.svg,Sport Boys,https://media.api-sports.io/football/teams/2544.png,UCV Moquegua,https://media.api-sports.io/football/teams/22489.png,0,0
Liga Pro,https://media.api-sports.io/football/leagues/242.png,https://media.api-sports.io/flags/ec.svg,Emelec,https://media.api-sports.io/football/teams/1148.png,Delfin SC,https://media.api-sports.io/football/teams/1149.png,1,1
CONCACAF U20,https://media.api-sports.io/football/leagues/537.png,,Haiti U20,https://media.api-sports.io/football/teams/11003.png,St. Vincent / Gren. U20,https://media.api-sports.io/football/teams/11010.png,4,0
Primera Division,https://media.api-sports.io/football/leagues/396.png,https://media.api-sports.io/flags/ni.svg,H&H Export,https://media.api-sports.io/football/teams/17135.png,Managua,https://media.api-sports.io/football/teams/4644.png,0,2
Major League Soccer,https://media.api-sports.io/football/leagues/253.png,https://media.api-sports.io/flags/us.svg,Real Salt Lake,https://media.api-sports.io/football/teams/1606.png,Seattle Sounders,https://media.api-sports.io/football/teams/1595.png,2,1
Major League Soccer,https://media.api-sports.io/football/leagues/253.png,https://media.api-sports.io/flags/us.svg,San Jose Earthquakes,https://media.api-sports.io/football/teams/1596.png,Atlanta United FC,https://media.api-sports.io/football/teams/1608.png,2,0
Division di Honor,https://media.api-sports.io/football/leagues/421.png,https://media.api-sports.io/flags/aw.svg,Estrella,https://media.api-sports.io/football/teams/8238.png,Britannia,https://media.api-sports.io/football/teams/8234.png,2,5
Primera Division,https://media.api-sports.io/football/leagues/370.png,https://media.api-sports.io/flags/sv.svg,Municipal Limeño,https://media.api-sports.io/football/teams/4306.png,Inter,https://media.api-sports.io/football/teams/26154.png,2,1
Primera Division,https://media.api-sports.io/football/leagues/370.png,https://media.api-sports.io/flags/sv.svg,Zacatecoluca,https://media.api-sports.io/football/teams/26155.png,Alianza,https://media.api-sports.io/football/teams/4299.png,0,2
Primera División,https://media.api-sports.io/football/leagues/299.png,https://media.api-sports.io/flags/ve.svg,Deportivo Tachira FC,https://media.api-sports.io/football/teams/2807.png,Metropolitanos FC,https://media.api-sports.io/football/teams/2825.png,0,1
Liga Premier Serie A,https://media.api-sports.io/football/leagues/722.png,https://media.api-sports.io/flags/mx.svg,Gavilanes FC Matamoros,https://media.api-sports.io/football/teams/15931.png,Lobos ULMX,https://media.api-sports.io/football/teams/17787.png,1,0
World Cup - Women - Qualification Concacaf,https://media.api-sports.io/football/leagues/927.png,,Guatemala W,https://media.api-sports.io/football/teams/16930.png,Grenada W,https://media.api-sports.io/football/teams/19144.png,6,0
Primera División,https://media.api-sports.io/football/leagues/162.png,https://media.api-sports.io/flags/cr.svg,Puntarenas FC,https://media.api-sports.io/football/teams/2045.png,LD Alajuelense,https://media.api-sports.io/football/teams/822.png,2,0
Liga de Expansión MX,https://media.api-sports.io/football/leagues/263.png,https://media.api-sports.io/flags/mx.svg,Monarcas,https://media.api-sports.io/football/teams/2284.png,CA La Paz,https://media.api-sports.io/football/teams/19024.png,1,0
Liga de Expansión MX,https://media.api-sports.io/football/leagues/263.png,https://media.api-sports.io/flags/mx.svg,Cancún,https://media.api-sports.io/football/teams/14276.png,CDS Tampico Madero,https://media.api-sports.io/football/teams/19905.png,1,2
Primera Division,https://media.api-sports.io/football/leagues/370.png,https://media.api-sports.io/flags/sv.svg,FAS,https://media.api-sports.io/football/teams/4302.png,Firpo,https://media.api-sports.io/football/teams/4303.png,2,0
Liga Nacional,https://media.api-sports.io/football/leagues/234.png,https://media.api-sports.io/flags/hn.svg,Juticalpa,https://media.api-sports.io/football/teams/1053.png,Victoria,https://media.api-sports.io/football/teams/11682.png,1,0
CONCACAF U20,https://media.api-sports.io/football/leagues/537.png,,Canada U20,https://media.api-sports.io/football/teams/10992.png,Martinique U20,https://media.api-sports.io/football/teams/11014.png,8,0
Liga MX,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,Monterrey,https://media.api-sports.io/football/teams/2282.png,Cruz Azul,https://media.api-sports.io/football/teams/2295.png,0,2
Liga MX,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,Leon,https://media.api-sports.io/football/teams/2289.png,Necaxa,https://media.api-sports.io/football/teams/2288.png,2,1
Liga Profesional Argentina,https://media.api-sports.io/football/leagues/128.png,https://media.api-sports.io/flags/ar.svg,Talleres Cordoba,https://media.api-sports.io/football/teams/456.png,San Lorenzo,https://media.api-sports.io/football/teams/460.png,0,0
Major League Soccer,https://media.api-sports.io/football/leagues/253.png,https://media.api-sports.io/flags/us.svg,Houston Dynamo,https://media.api-sports.io/football/teams/1600.png,Los Angeles FC,https://media.api-sports.io/football/teams/1616.png,0,2
Major League Soccer,https://media.api-sports.io/football/leagues/253.png,https://media.api-sports.io/flags/us.svg,Sporting Kansas City,https://media.api-sports.io/football/teams/1611.png,Columbus Crew,https://media.api-sports.io/football/teams/1613.png,2,2
Major League Soccer,https://media.api-sports.io/football/leagues/253.png,https://media.api-sports.io/flags/us.svg,FC Dallas,https://media.api-sports.io/football/teams/1597.png,Nashville SC,https://media.api-sports.io/football/teams/9569.png,0,0
Primera A,https://media.api-sports.io/football/leagues/239.png,https://media.api-sports.io/flags/co.svg,Independiente Medellin,https://media.api-sports.io/football/teams/1128.png,Bucaramanga,https://media.api-sports.io/football/teams/1131.png,1,2
Liga Panameña de Fútbol,https://media.api-sports.io/football/leagues/304.png,https://media.api-sports.io/flags/pa.svg,Veraguas,https://media.api-sports.io/football/teams/15620.png,Plaza Amador,https://media.api-sports.io/football/teams/2883.png,1,1
A-League,https://media.api-sports.io/football/leagues/188.png,https://media.api-sports.io/flags/au.svg,Wellington Phoenix,https://media.api-sports.io/football/teams/942.png,Sydney,https://media.api-sports.io/football/teams/943.png,0,1
Primera División,https://media.api-sports.io/football/leagues/162.png,https://media.api-sports.io/flags/cr.svg,CS Herediano,https://media.api-sports.io/football/teams/815.png,Perez Zeledon,https://media.api-sports.io/football/teams/819.png,3,0
Liga Nacional,https://media.api-sports.io/football/leagues/339.png,https://media.api-sports.io/flags/gt.svg,Malacateco,https://media.api-sports.io/football/teams/3664.png,Antigua GFC,https://media.api-sports.io/football/teams/3656.png,2,2
Major League Soccer,https://media.api-sports.io/football/leagues/253.png,https://media.api-sports.io/flags/us.svg,Vancouver Whitecaps,https://media.api-sports.io/football/teams/1603.png,Toronto FC,https://media.api-sports.io/football/teams/1601.png,3,0
Victoria NPL 2,https://media.api-sports.io/football/leagues/836.png,https://media.api-sports.io/flags/au.svg,Western United II,https://media.api-sports.io/football/teams/20784.png,Manningham United Blues,https://media.api-sports.io/football/teams/16784.png,6,3
Liga MX,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,Club America,https://media.api-sports.io/football/teams/2287.png,Tigres UANL,https://media.api-sports.io/football/teams/2279.png,1,4
Major League Soccer,https://media.api-sports.io/football/leagues/253.png,https://media.api-sports.io/flags/us.svg,Los Angeles Galaxy,https://media.api-sports.io/football/teams/1605.png,Charlotte,https://media.api-sports.io/football/teams/18310.png,3,0
New South Wales NPL,https://media.api-sports.io/football/leagues/192.png,https://media.api-sports.io/flags/au.svg,Blacktown City,https://media.api-sports.io/football/teams/3765.png,Sutherland Sharks,https://media.api-sports.io/football/teams/3771.png,2,3
Victoria NPL,https://media.api-sports.io/football/leagues/195.png,https://media.api-sports.io/flags/au.svg,Melbourne City II,https://media.api-sports.io/football/teams/20783.png,Preston Lions,https://media.api-sports.io/football/teams/19705.png,0,3
J2 League,https://media.api-sports.io/football/leagues/99.png,https://media.api-sports.io/flags/jp.svg,Roasso Kumamoto,https://media.api-sports.io/football/teams/314.png,Oita Trinita,https://media.api-sports.io/football/teams/298.png,3,1
K League 1,https://media.api-sports.io/football/leagues/292.png,https://media.api-sports.io/flags/kr.svg,Jeonbuk Motors,https://media.api-sports.io/football/teams/2762.png,Bucheon FC 1995,https://media.api-sports.io/football/teams/2745.png,2,3
K League 2,https://media.api-sports.io/football/leagues/293.png,https://media.api-sports.io/flags/kr.svg,Cheongju,https://media.api-sports.io/football/teams/7061.png,Suwon City FC,https://media.api-sports.io/football/teams/2756.png,1,4
K League 2,https://media.api-sports.io/football/leagues/293.png,https://media.api-sports.io/flags/kr.svg,Daegu FC,https://media.api-sports.io/football/teams/2747.png,Hwaseong,https://media.api-sports.io/football/teams/7087.png,1,0
K League 2,https://media.api-sports.io/football/leagues/293.png,https://media.api-sports.io/flags/kr.svg,Yongin City,https://media.api-sports.io/football/teams/9171.png,Cheonan City,https://media.api-sports.io/football/teams/7060.png,2,2
J2 League,https://media.api-sports.io/football/leagues/99.png,https://media.api-sports.io/flags/jp.svg,Tochigi SC,https://media.api-sports.io/football/teams/315.png,Yokohama FC,https://media.api-sports.io/football/teams/307.png,4,0
J2 League,https://media.api-sports.io/football/leagues/99.png,https://media.api-sports.io/flags/jp.svg,Sagamihara,https://media.api-sports.io/football/teams/4324.png,Montedio Yamagata,https://media.api-sports.io/football/teams/312.png,2,1
J2 League,https://media.api-sports.io/football/leagues/99.png,https://media.api-sports.io/flags/jp.svg,Iwaki,https://media.api-sports.io/football/teams/7127.png,Fujieda MYFC,https://media.api-sports.io/football/teams/4317.png,1,2
J2 League,https://media.api-sports.io/football/leagues/99.png,https://media.api-sports.io/flags/jp.svg,Imabari,https://media.api-sports.io/football/teams/10075.png,Albirex Niigata,https://media.api-sports.io/football/teams/311.png,0,2
J2 League,https://media.api-sports.io/football/leagues/99.png,https://media.api-sports.io/flags/jp.svg,Kochi United,https://media.api-sports.io/football/teams/7129.png,Nara Club,https://media.api-sports.io/football/teams/7135.png,2,0
J2 League,https://media.api-sports.io/football/leagues/99.png,https://media.api-sports.io/flags/jp.svg,Kanazawa,https://media.api-sports.io/football/teams/300.png,Kamatamare Sanuki,https://media.api-sports.io/football/teams/317.png,1,0
New South Wales NPL 2,https://media.api-sports.io/football/leagues/835.png,https://media.api-sports.io/flags/au.svg,Hakoah Sydney City,https://media.api-sports.io/football/teams/3766.png,Central Coast II,https://media.api-sports.io/football/teams/16772.png,2,2
Northern NSW NPL,https://media.api-sports.io/football/leagues/481.png,https://media.api-sports.io/flags/au.svg,Charlestown City Blues,https://media.api-sports.io/football/teams/10203.png,Hamilton Olympic,https://media.api-sports.io/football/teams/10205.png,1,2
Northern NSW NPL,https://media.api-sports.io/football/leagues/481.png,https://media.api-sports.io/flags/au.svg,Belmont Swansea,https://media.api-sports.io/football/teams/23500.png,Cooks Hill United,https://media.api-sports.io/football/teams/18313.png,2,1
Queensland NPL,https://media.api-sports.io/football/leagues/482.png,https://media.api-sports.io/flags/au.svg,Olympic,https://media.api-sports.io/football/teams/10220.png,WDSC Wolves,https://media.api-sports.io/football/teams/11184.png,1,3
Premier League,https://media.api-sports.io/football/leagues/380.png,https://media.api-sports.io/flags/hk.svg,Kowloon City,https://media.api-sports.io/football/teams/20392.png,BC Rangers,https://media.api-sports.io/football/teams/26471.png,5,1
Premier League,https://media.api-sports.io/football/leagues/380.png,https://media.api-sports.io/flags/hk.svg,North District,https://media.api-sports.io/football/teams/6401.png,Eastern District,https://media.api-sports.io/football/teams/4467.png,2,2
Ligue 1,https://media.api-sports.io/football/leagues/424.png,https://media.api-sports.io/flags/cg.svg,Etoile de Kivu,https://media.api-sports.io/football/teams/17764.png,JSK,https://media.api-sports.io/football/teams/15286.png,2,2
Queensland NPL,https://media.api-sports.io/football/leagues/482.png,https://media.api-sports.io/flags/au.svg,Eastern Suburbs,https://media.api-sports.io/football/teams/2531.png,Brisbane Roar II,https://media.api-sports.io/football/teams/10212.png,3,2
Taiwan Football Premier League,https://media.api-sports.io/football/leagues/589.png,https://media.api-sports.io/flags/tw.svg,Taipower,https://media.api-sports.io/football/teams/9427.png,Ming Chuan University,https://media.api-sports.io/football/teams/12540.png,3,1
K League 1,https://media.api-sports.io/football/leagues/292.png,https://media.api-sports.io/flags/kr.svg,Jeju United FC,https://media.api-sports.io/football/teams/2761.png,Gwangju FC,https://media.api-sports.io/football/teams/2759.png,0,0
K League 2,https://media.api-sports.io/football/leagues/293.png,https://media.api-sports.io/flags/kr.svg,Gyeongnam FC,https://media.api-sports.io/football/teams/2751.png,Jeonnam Dragons,https://media.api-sports.io/football/teams/2760.png,1,4
Super Cup,https://media.api-sports.io/football/leagues/972.png,https://media.api-sports.io/flags/cn.svg,SHANGHAI SIPG,https://media.api-sports.io/football/teams/836.png,Beijing Guoan,https://media.api-sports.io/football/teams/830.png,0,2
Diski Challenge,https://media.api-sports.io/football/leagues/734.png,https://media.api-sports.io/flags/za.svg,Stellenbosch U23,https://media.api-sports.io/football/teams/15996.png,AmaZulu U23,https://media.api-sports.io/football/teams/15985.png,1,1
Diski Challenge,https://media.api-sports.io/football/leagues/734.png,https://media.api-sports.io/flags/za.svg,Orbit College U23,https://media.api-sports.io/football/teams/26501.png,Richards Bay U23,https://media.api-sports.io/football/teams/20296.png,2,0
First League,https://media.api-sports.io/football/leagues/236.png,https://media.api-sports.io/flags/ru.svg,Enisey,https://media.api-sports.io/football/teams/1089.png,Volga Ulyanovsk,https://media.api-sports.io/football/teams/6834.png,1,1
Queensland Premier League,https://media.api-sports.io/football/leagues/833.png,https://media.api-sports.io/flags/au.svg,Redlands United,https://media.api-sports.io/football/teams/10222.png,Broadbeach United,https://media.api-sports.io/football/teams/20850.png,1,4
PFL,https://media.api-sports.io/football/leagues/765.png,https://media.api-sports.io/flags/ph.svg,Davao Aguilas,https://media.api-sports.io/football/teams/22754.png,Mendiola,https://media.api-sports.io/football/teams/16192.png,5,0
Lao League,https://media.api-sports.io/football/leagues/647.png,https://media.api-sports.io/flags/la.svg,Ezra,https://media.api-sports.io/football/teams/14094.png,Master 7,https://media.api-sports.io/football/teams/9425.png,4,2
Lao League,https://media.api-sports.io/football/leagues/647.png,https://media.api-sports.io/flags/la.svg,Namtha United,https://media.api-sports.io/football/teams/21016.png,Savannakhet,https://media.api-sports.io/football/teams/26368.png,5,0
Lao League,https://media.api-sports.io/football/leagues/647.png,https://media.api-sports.io/flags/la.svg,Salavan United,https://media.api-sports.io/football/teams/26367.png,Lao Army,https://media.api-sports.io/football/teams/16493.png,1,0
C-League,https://media.api-sports.io/football/leagues/410.png,https://media.api-sports.io/flags/kh.svg,Kirivong Sok Sen Chey,https://media.api-sports.io/football/teams/5389.png,National Defense,https://media.api-sports.io/football/teams/5391.png,3,2
Second League A - Division A Gold,https://media.api-sports.io/football/leagues/1025.png,https://media.api-sports.io/flags/ru.svg,Novosibirsk,https://media.api-sports.io/football/teams/6819.png,Volgar Astrakhan,https://media.api-sports.io/football/teams/2004.png,2,2
Friendlies Clubs,https://media.api-sports.io/football/leagues/667.png,,Karviná II,https://media.api-sports.io/football/teams/15134.png,Bospor Bohumín,https://media.api-sports.io/football/teams/7277.png,1,1
Asian Cup Women,https://media.api-sports.io/football/leagues/897.png,,Australia W,https://media.api-sports.io/football/teams/1722.png,Philippines W,https://media.api-sports.io/football/teams/17892.png,1,0
Premier League,https://media.api-sports.io/football/leagues/569.png,https://media.api-sports.io/flags/kg.svg,Ilbirs,https://media.api-sports.io/football/teams/12236.png,Alay,https://media.api-sports.io/football/teams/8022.png,1,1
Liga II,https://media.api-sports.io/football/leagues/284.png,https://media.api-sports.io/flags/ro.svg,Chindia Targoviste,https://media.api-sports.io/football/teams/2586.png,Bihor Oradea,https://media.api-sports.io/football/teams/20033.png,1,0
FNL,https://media.api-sports.io/football/leagues/346.png,https://media.api-sports.io/flags/cz.svg,Viktoria Žižkov,https://media.api-sports.io/football/teams/3729.png,Chrudim,https://media.api-sports.io/football/teams/3722.png,2,1
3. liga - CFL B,https://media.api-sports.io/football/leagues/685.png,https://media.api-sports.io/flags/cz.svg,Hradec Králové II,https://media.api-sports.io/football/teams/14495.png,Teplice II,https://media.api-sports.io/football/teams/12877.png,1,0
3. liga - CFL B,https://media.api-sports.io/football/leagues/685.png,https://media.api-sports.io/flags/cz.svg,Jablonec II,https://media.api-sports.io/football/teams/12797.png,Sokol Zápy,https://media.api-sports.io/football/teams/7356.png,1,2
3. liga - CFL B,https://media.api-sports.io/football/leagues/685.png,https://media.api-sports.io/flags/cz.svg,Mladá Boleslav II,https://media.api-sports.io/football/teams/12816.png,Pardubice II,https://media.api-sports.io/football/teams/14747.png,2,1
2. Liga,https://media.api-sports.io/football/leagues/219.png,https://media.api-sports.io/flags/at.svg,SV Kapfenberg,https://media.api-sports.io/football/teams/1401.png,Sturm Graz II,https://media.api-sports.io/football/teams/8251.png,2,1
2. liga,https://media.api-sports.io/football/leagues/506.png,https://media.api-sports.io/flags/sk.svg,Malženice,https://media.api-sports.io/football/teams/14058.png,Petržalka,https://media.api-sports.io/football/teams/10538.png,0,0
2. liga,https://media.api-sports.io/football/leagues/506.png,https://media.api-sports.io/flags/sk.svg,Slovan Bratislava II,https://media.api-sports.io/football/teams/10544.png,Baník Lehota p.Vtáčnikom,https://media.api-sports.io/football/teams/14942.png,1,1
2. liga,https://media.api-sports.io/football/leagues/506.png,https://media.api-sports.io/flags/sk.svg,Žilina II,https://media.api-sports.io/football/teams/10546.png,Pohronie,https://media.api-sports.io/football/teams/4134.png,1,0
3. liga - West,https://media.api-sports.io/football/leagues/644.png,https://media.api-sports.io/flags/sk.svg,Komárno II,https://media.api-sports.io/football/teams/26245.png,Beluša,https://media.api-sports.io/football/teams/14053.png,1,0
3. liga - West,https://media.api-sports.io/football/leagues/644.png,https://media.api-sports.io/flags/sk.svg,Trenčín II,https://media.api-sports.io/football/teams/26247.png,Galanta,https://media.api-sports.io/football/teams/14054.png,1,4
3. liga - West,https://media.api-sports.io/football/leagues/644.png,https://media.api-sports.io/flags/sk.svg,DAC II,https://media.api-sports.io/football/teams/26244.png,Nové Zámky,https://media.api-sports.io/football/teams/14061.png,4,0
Oberliga - Hamburg,https://media.api-sports.io/football/leagues/745.png,https://media.api-sports.io/flags/de.svg,Paloma,https://media.api-sports.io/football/teams/12828.png,Tus Dassendorf,https://media.api-sports.io/football/teams/1662.png,1,1
Premier League,https://media.api-sports.io/football/leagues/235.png,https://media.api-sports.io/flags/ru.svg,Dynamo,https://media.api-sports.io/football/teams/1088.png,Krylia Sovetov,https://media.api-sports.io/football/teams/1079.png,4,0
Campionato Primavera - 1,https://media.api-sports.io/football/leagues/705.png,https://media.api-sports.io/flags/it.svg,Roma U20,https://media.api-sports.io/football/teams/24739.png,Milan U20,https://media.api-sports.io/football/teams/24737.png,1,0
2. liga,https://media.api-sports.io/football/leagues/506.png,https://media.api-sports.io/flags/sk.svg,Slávia TU Košice,https://media.api-sports.io/football/teams/14074.png,Zlaté Moravce,https://media.api-sports.io/football/teams/3553.png,1,3
III Liga - Group 1,https://media.api-sports.io/football/leagues/780.png,https://media.api-sports.io/flags/pl.svg,Swit,https://media.api-sports.io/football/teams/12869.png,Legia Warszawa II,https://media.api-sports.io/football/teams/6944.png,0,1
NB III - Southwest,https://media.api-sports.io/football/leagues/634.png,https://media.api-sports.io/flags/hu.svg,Paksi SE II,https://media.api-sports.io/football/teams/11856.png,Ferencváros II,https://media.api-sports.io/football/teams/11861.png,1,3
NB III - Southeast,https://media.api-sports.io/football/leagues/1023.png,https://media.api-sports.io/flags/hu.svg,Tiszaföldvár,https://media.api-sports.io/football/teams/15199.png,Békéscsaba II,https://media.api-sports.io/football/teams/17173.png,0,2
NB III - Southeast,https://media.api-sports.io/football/leagues/1023.png,https://media.api-sports.io/flags/hu.svg,Vasas II,https://media.api-sports.io/football/teams/19462.png,Honvéd II,https://media.api-sports.io/football/teams/11853.png,2,2
NB III - Southeast,https://media.api-sports.io/football/leagues/1023.png,https://media.api-sports.io/flags/hu.svg,Szeged-Csanád II,https://media.api-sports.io/football/teams/21857.png,BKV Előre,https://media.api-sports.io/football/teams/5070.png,1,2
NB III - Northwest,https://media.api-sports.io/football/leagues/635.png,https://media.api-sports.io/flags/hu.svg,Puskás II,https://media.api-sports.io/football/teams/13155.png,Tatabánya,https://media.api-sports.io/football/teams/5145.png,1,2
NB III - Northwest,https://media.api-sports.io/football/leagues/635.png,https://media.api-sports.io/flags/hu.svg,Újpest II,https://media.api-sports.io/football/teams/11860.png,Gyori ETO II,https://media.api-sports.io/football/teams/11851.png,3,0
NB III - Northeast,https://media.api-sports.io/football/leagues/633.png,https://media.api-sports.io/flags/hu.svg,Diósgyőr II,https://media.api-sports.io/football/teams/13154.png,Tiszaújváros,https://media.api-sports.io/football/teams/5149.png,1,3
NB III - Northeast,https://media.api-sports.io/football/leagues/633.png,https://media.api-sports.io/flags/hu.svg,Kisvárda II,https://media.api-sports.io/football/teams/14122.png,Tiszafuredi VSE,https://media.api-sports.io/football/teams/5147.png,0,0
NB III - Northeast,https://media.api-sports.io/football/leagues/633.png,https://media.api-sports.io/flags/hu.svg,Nyiregyhaza II,https://media.api-sports.io/football/teams/24538.png,Ózd Sajóvölgye,https://media.api-sports.io/football/teams/26196.png,2,0
U19 League,https://media.api-sports.io/football/leagues/1065.png,https://media.api-sports.io/flags/ua.svg,SK Poltava U19,https://media.api-sports.io/football/teams/26237.png,Kudrivka U19,https://media.api-sports.io/football/teams/26236.png,1,1
2. Lig,https://media.api-sports.io/football/leagues/205.png,https://media.api-sports.io/flags/tr.svg,24 Erzincanspor,https://media.api-sports.io/football/teams/7392.png,Muğlaspor,https://media.api-sports.io/football/teams/7414.png,0,0
2. Lig,https://media.api-sports.io/football/leagues/205.png,https://media.api-sports.io/flags/tr.svg,Mardin BB,https://media.api-sports.io/football/teams/6533.png,Adanaspor,https://media.api-sports.io/football/teams/3564.png,5,0
2. Lig,https://media.api-sports.io/football/leagues/205.png,https://media.api-sports.io/flags/tr.svg, Kahramanmaraş İstiklal Spor,https://media.api-sports.io/football/teams/24601.png,Menemen Belediyespor,https://media.api-sports.io/football/teams/3599.png,3,0
3. Lig - Group 1,https://media.api-sports.io/football/leagues/552.png,https://media.api-sports.io/flags/tr.svg,Beykoz İshaklıspor,https://media.api-sports.io/football/teams/24603.png,Çorluspor 1947,https://media.api-sports.io/football/teams/22451.png,0,0
3. Lig - Group 2,https://media.api-sports.io/football/leagues/553.png,https://media.api-sports.io/flags/tr.svg,Talasgücü Belediyespor,https://media.api-sports.io/football/teams/21995.png,Kırıkkale Büyük Anadolu,https://media.api-sports.io/football/teams/6531.png,1,0
3. Lig - Group 2,https://media.api-sports.io/football/leagues/553.png,https://media.api-sports.io/flags/tr.svg,Diyarbekirspor,https://media.api-sports.io/football/teams/7398.png,Kapadokyaspor,https://media.api-sports.io/football/teams/26468.png,0,0
3. Lig - Group 2,https://media.api-sports.io/football/leagues/553.png,https://media.api-sports.io/flags/tr.svg,Kırşehir Belediyespor,https://media.api-sports.io/football/teams/6341.png,Kilis Belediyespor,https://media.api-sports.io/football/teams/6530.png,0,0
3. Lig - Group 2,https://media.api-sports.io/football/leagues/553.png,https://media.api-sports.io/flags/tr.svg,Niğde Belediyesispor,https://media.api-sports.io/football/teams/22445.png,Ağrı 1970,https://media.api-sports.io/football/teams/6509.png,2,3
3. Lig - Group 2,https://media.api-sports.io/football/leagues/553.png,https://media.api-sports.io/flags/tr.svg,Türk Metal 1963,https://media.api-sports.io/football/teams/24605.png,Karaköprü Belediyespor,https://media.api-sports.io/football/teams/7408.png,1,1
3. Lig - Group 3,https://media.api-sports.io/football/leagues/554.png,https://media.api-sports.io/flags/tr.svg,Düzcespor,https://media.api-sports.io/football/teams/7399.png,Sebat Gençlikspor,https://media.api-sports.io/football/teams/22010.png,1,0
