League,Home Team,Away Team,Home Score,Away Score
Primera División,Deportivo Saprissa,CS Cartagines,0,0
Liga Profesional Argentina,Argentinos JRS,Sarmiento Junin,1,0
Liga Profesional Argentina,Tigre,Estudiantes de Rio Cuarto,2,0
Liga Nacional,Antigua GFC,Xelajú,1,1
Premier Division,Old Road,Ottos Rangers,5,1
Primera Division,Managua,H&H Export,1,0
CONCACAF Women U17,Honduras W U17,Aruba U17 W,3,1
CONCACAF Women U17,Costa Rica W U17,British Virgin Islands U17 W,16,0
Primera A,Once Caldas,Santa Fe,1,1
Liga Nacional,CD Olimpia,Génesis,1,0
Friendlies Clubs,Vegalta Sendai,Kitakyushu,2,3
A-League,Melbourne Victory,Sydney,4,0
Friendlies Clubs,Zenit,SHANGHAI SIPG,6,0
Friendlies Clubs,Rubin,Struga,2,0
Friendlies Clubs,Kudrivka,FC Fredericia,1,2
Premier League,Kedus Giorgis,Suhul Shire,0,0
Friendlies Clubs,Dinamo Tbilisi,Shturmi,2,0
Azadegan League,Saipa,Sanat Naft,1,0
Campionato Primavera - 1,Cagliari U20,Sassuolo U20,2,2
Azadegan League,Damash Gilanian,Naft Bandar Abbas,0,1
Azadegan League,Shenavarsazi Qeshm,Shahrdari Noshahr,1,1
Premier League,Young Lions,Tanjong Pagar,1,1
Liga 1,Dewa United,Arema FC,2,0
Friendlies Clubs,Austria Vienna,Dunajska Streda,1,1
Friendlies Clubs,Montana,Sepsi OSK Sfantu Gheorghe,1,0
Friendlies Clubs,Septemvri Sofia,Ordabasy,1,2
Division 1,Al Baten,Al-Raed,1,1
Friendlies Clubs,Veres Rivne,Dukagjini,0,1
Friendlies,Uzbekistan,China,2,2
Division 1,Al Arabi SC,Al-Faisaly FC,0,3
Campionato Primavera - 1,Cesena U20,Hellas Verona U20,0,0
Campionato Primavera - 1,Parma U20,Torino U20,1,1
Professional Development League,Crewe Alexandra U21,Hull City U21,3,2
Premier League 2 Division One,Manchester United U21,Brighton U21,1,1
Premier League 2 Division One,Blackburn Rovers U21,Birmingham City U21,5,0
Premier League 2 Division One,Crystal Palace U21,Derby County U21,6,0
Premier League,Ethiopian Medhin,Mekelakeya,0,1
Premier League,Mebrat Hayl,Welayta Dicha,0,0
Ligue A,Garage Express,Rukinzo,0,0
Friendlies Clubs,Dinamo Makhachkala,Vardar Skopje,3,0
Friendlies Clubs,CSKA 1948,Slovan Bratislava,2,1
Ligue 1,Don Bosco,AS New Soger,0,1
Ligue 1,Lubumbashi Sport,Malole,1,0
Friendlies Clubs,Oleksandria,Llapi,3,1
Friendlies Clubs,Arda Kardzhali,FC UFA,2,1
Sudani Premier League,Al Hilal Karima,Al-Ahly Merowe,2,2
QSL Cup,Muaither SC,Al Kharaitiyat,2,0
Ligue 1,Panda B5,Tshinkunku,2,1
Friendlies Clubs,Dynamo,Chengdu Better City,1,1
The Atlantic Cup,Brondby,Real Salt Lake,1,2
Iraqi League,Gharraf,Baghdad,3,2
Sudani Premier League,Al Fallah,Alamal Atbara,0,0
Division 1,Al Jubail,Al Zulfi,2,2
HNL,HNK Gorica,NK Varazdin,1,2
Liga I,Oţelul,Csikszereda,3,0
Campionato Primavera - 1,Roma U20,Bologna U20,2,3
NPFL,Remo Stars,Kun Khalifat FC,1,1
Division One League,Inter Allies,Home Stars,2,1
Division One League,Legon Cities,KAC Soccer,2,1
Division One League,Police National,Future Stars,2,0
Liga Revelação U23,Sporting Braga U23,Sporting CP U23,2,2
Liga Revelação U23,Torreense U23,Leixões U23,0,2
Friendlies Clubs,IF Elfsborg,Aarhus,1,2
Pro League,Al-Hazm,Damac,2,1
Ligue 1,Vitesse,USFA,0,0
Ligue 1,Réal du Faso,AJEB,1,0
Ligue 1,Salitas,ASFA-Yennenga,2,2
QSL Cup,Al Waab,Al Mesaimeer,3,1
Premier League,Police,N'Zidane,1,2
Premier League,Budaiya,Malkiya,0,1
Premier League,Khalidiya,Al Ahli,0,1
GFA League,Steve Biko,GPA,1,2
Première Division,Derby Academie,ASKO,0,0
Liga Leumit,Maccabi Petah Tikva,Hapoel Hadera,2,0
Liga Leumit,H. Raanana,Hapoel Kfar Saba,1,1
Liga Leumit,Ironi Modi'in,Maccabi Herzliya,1,2
Süper Lig,Eyüpspor,Beşiktaş,2,2
1. Lig,Sakaryaspor,BB Bodrumspor,0,2
1. Division,Enosis,Olympiakos,0,2
Serie A Women,Juventus W,Parma W,3,0
Pro League,Al-Ittihad FC,Al Okhdood,2,1
Pro League,Al-Nassr,Al Taawon,1,0
Liga I,Uta Arad,Rapid,1,2
Segunda Liga,União de Leiria,Sporting CP B,3,1
Liga Alef,Hapoel Migdal HaEmek,Maccabi Nujeidat Ahmed,3,1
Première Division,Afrique Football Élite,Réal Bamako,2,1
CONCACAF Women U17,Suriname U17 W,Panama W U17,0,8
Ligat Ha'al,Maccabi Tel Aviv,Hapoel Tel Aviv,1,2
Eerste Divisie,ADO Den Haag,Vitesse,0,0
Eerste Divisie,Waalwijk,Jong Utrecht,2,2
Eerste Divisie,Roda,VVV Venlo,2,2
Eerste Divisie,De Graafschap,Den Bosch,1,1
Eerste Divisie,Jong AZ,Almere City FC,3,4
Eerste Divisie,Jong PSV U21,Helmond Sport,4,0
Premier League 2 Division One,Nottingham Forest U21,Reading U21,0,1
Premier League 2 Division One,Leicester City U21,Chelsea U21,1,2
Premier League 2 Division One,Wolves U21,Sunderland U21,2,2
Premier League 2 Division One,Southampton U21,West Bromwich Albion U21,2,0
Primera B,Leones FC,Tigres FC,0,0
Friendlies Clubs,Hinna,Vidar,3,3
Segunda División,AD Ceuta FC,Cultural Leonesa,3,1
Serie C - Girone A,Vicenza Virtus,Cittadella,4,1
Serie C - Girone A,Lecco,Inter U23,0,2
The Atlantic Cup,Brondby,FC Dallas,2,5
Serie A,Verona,Udinese,1,3
Ligue 2,Le Mans,Dunkerque,1,0
National League - South,Chelmsford City,Tonbridge Angels,1,0
Non League Premier - Isthmian,Potters Bar Town,Hashtag United,2,1
Premier League,Everton,Leeds,1,1
Championship,Norwich,Coventry,2,1
La Liga,Girona,Getafe,1,1
Premier Division,Europa,Glacis United,5,1
Liga Profesional Argentina,Platense,Instituto Cordoba,2,1
Carioca - 1,Madureira,Portuguesa RJ,0,2
Primeira Liga,FC Porto,GIL Vicente,3,0
Primera B,Popayan,Quindio,0,1
Gaúcho - 1,Sao Jose,Caxias,1,0
Piauiense,Piauí,Parnahyba,1,0
Acreano,Vasco da Gama AC,ADESG,3,1
Capixaba,Vilavelhense,Real Noroeste,1,0
Primera B,Real Soacha,Envigado,0,2
CONCACAF Women U17,US Virgin Islands W U17,Dominican Republic W U17,0,11
Liga MX Femenil,Querétaro W,Toluca W,1,4
Paulista - A1,Portuguesa,Guarani Campinas,0,1
Primera B,Union Magdalena,Bogota FC,0,0
CONCACAF Women U17,Barbados U17 W,El Salvador W U17,0,6
CONCACAF Women U17,Bonaire U17 W,Bermuda W U17,1,7
Carioca - 1,Nova Iguaçu,Volta Redonda,2,2
Cearense - 1,Fortaleza EC,Floresta,1,0
