events_odds_left,events_odds_right,from_code,from_platform,platform_icon_class
14events@122028.38 odds,12events@18676.91 odds,YSIYKMJ,betpawa,tx-10 flag-icon flag-icon-xx
29events@8986.18 odds,29events@9991.47 odds,JLZR4,1xbet,tx-10 flag-icon flag-icon-cm
11events@1108.16 odds,11events@1122.78 odds,Nyk74,DB,tx-10 flag-icon flag-icon-ng
3events@13.82 odds,3events@21.74 odds,QC1U4,fansport,tx-10 flag-icon flag-icon-ng
2events@3.87 odds,1events@2.73 odds,H71U4,DB,tx-10 flag-icon flag-icon-ng
3events@1843.8 odds,1events@10.05 odds,Y6QHQ6,sportybet,tx-10 flag-icon flag-icon-ng
2events@1.94 odds,1events@1.52 odds,Mktt4,betwinner,tx-10 flag-icon flag-icon-ng
29events@5004.82 odds,26events@2382.24 odds,BW1F4ECA8,betway,tx-10 flag-icon flag-icon-za
6events@21.85 odds,4events@6.88 odds,RVA75X,sportybet,tx-10 flag-icon flag-icon-ng
4events@22.01 odds,4events@21.62 odds,PJRS4,paripesa,tx-10 flag-icon flag-icon-ng
43events@736279.81 odds,8events@10.25 odds,Ffch4,DB,tx-10 flag-icon flag-icon-ng
5events@20.63 odds,5events@20.27 odds,99k74,1xbet,tx-10 flag-icon flag-icon-ng
2events@3.79 odds,2events@4.03 odds,65G74,paripesa,tx-10 flag-icon flag-icon-ng
5events@50.37 odds,5events@50.92 odds,Nek74,1xbet,tx-10 flag-icon flag-icon-ng
2events@2.92 odds,2events@2.25 odds,1T9T4,1xbet,tx-10 flag-icon flag-icon-ng
35events@264713.15 odds,5events@6.41 odds,RXREFA,sportybet,tx-10 flag-icon flag-icon-ng
23events@1175.86 odds,21events@545.62 odds,ZRLZ6J,bet9ja,tx-10 flag-icon flag-icon-ng
25events@1881.94 odds,6events@5.64 odds,QKEWJQ,sportybet,tx-10 flag-icon flag-icon-ng
4events@7493.25 odds,2events@60.25 odds,QTTA9S,sportybet,tx-10 flag-icon flag-icon-ng
10events@105.86 odds,10events@108.57 odds,Zr7qzv,bet9ja,tx-10 flag-icon flag-icon-ng
18events@115.18 odds,10events@10.37 odds,ZRJPJD,bet9ja,tx-10 flag-icon flag-icon-ng
7events@39.62 odds,3events@5.66 odds,R8GR7S,sportybet,tx-10 flag-icon flag-icon-ng
11events@388.08 odds,10events@249.36 odds,BW1F7787C,betway,tx-10 flag-icon flag-icon-za
4events@69.47 odds,4events@69.24 odds,YE95A0,sportybet,tx-10 flag-icon flag-icon-ng
4events@10.51 odds,4events@11.31 odds,2NPT4,linebet,tx-10 flag-icon flag-icon-ng
8events@23.98 odds,8events@22.87 odds,K1YWUX,football,tx-10 flag-icon flag-icon-ng
4events@4.68 odds,2events@2.24 odds,BD564,betwinner,tx-10 flag-icon flag-icon-ng
2events@2.87 odds,2events@2.88 odds,DZ4Q4,betwinner,tx-10 flag-icon flag-icon-ng
23events@159.93 odds,10events@8.83 odds,P6QKML,sportybet,tx-10 flag-icon flag-icon-tz
3events@2.55 odds,3events@2.42 odds,246T4,1xbet,tx-10 flag-icon flag-icon-ng
3events@2.2 odds,3events@2.54 odds,246T4,1xbet,tx-10 flag-icon flag-icon-ng
40events@302442.65 odds,40events@302442.73 odds,FFCH4,DB,tx-10 flag-icon flag-icon-ng
39events@180061.91 odds,3events@2.5 odds,JLZR4,1xbet,tx-10 flag-icon flag-icon-cm
1events@1.51 odds,1events@1.82 odds,QV6T4,paripulse,tx-10 flag-icon flag-icon-ng
1events@2.37 odds,1events@2.29 odds,KMRT4,linebet,tx-10 flag-icon flag-icon-ng
1events@2.21 odds,1events@1.67 odds,QE5T4,linebet,tx-10 flag-icon flag-icon-ng
5events@236.71 odds,5events@224.8 odds,F53P4,1xbet,tx-10 flag-icon flag-icon-ng
10events@8.11 odds,10events@9.58 odds,BW1EC5985,betway,tx-10 flag-icon flag-icon-za
25events@N/A odds,25events@N/A odds,CA9VK5,sportybet,tx-10 flag-icon flag-icon-gh
2events@2.01 odds,2events@1.7 odds,T7JS4,1xbet,tx-10 flag-icon flag-icon-ng
3events@4.19 odds,3events@4.03 odds,HQPK4,1xbet,tx-10 flag-icon flag-icon-ng
19events@3579.43 odds,19events@3509.67 odds,zx4s4,DB,tx-10 flag-icon flag-icon-ng
30events@1114.3 odds,29events@849.18 odds,188m4,paripesa,tx-10 flag-icon flag-icon-ng
10events@63105.11 odds,10events@65396.96 odds,TM9BUJ,sportybet,tx-10 flag-icon flag-icon-ng
6events@4.17 odds,6events@4.11 odds,LDFL4,paripesa,tx-10 flag-icon flag-icon-ng
7events@5.97 odds,7events@5.35 odds,BW1F53CA7,betway,tx-10 flag-icon flag-icon-za
6events@9.9 odds,5events@39.97 odds,2TA11J4,betpawa,tx-10 flag-icon flag-icon-xx
4events@15.92 odds,1events@2.74 odds,CARNX4F,betpawa,tx-10 flag-icon flag-icon-xx
1events@2.39 odds,1events@2.32 odds,TLBT4,melbet,tx-10 flag-icon flag-icon-ng
7events@5.12 odds,7events@9.05 odds,BW1F53CA7,betway,tx-10 flag-icon flag-icon-za
4events@71.83 odds,4events@69.1 odds,0C367A0,bcgame,tx-10 flag-icon flag-icon-ng
3events@2.01 odds,1events@1.61 odds,ZPXPMM,bet9ja,tx-10 flag-icon flag-icon-ng
8events@10.28 odds,8events@8.79 odds,GGBL4,planbet,tx-10 flag-icon flag-icon-xx
3events@21.47 odds,2events@8 odds,27964,paripesa,tx-10 flag-icon flag-icon-ng
4events@7.44 odds,4events@7.17 odds,A5Z64,linebet,tx-10 flag-icon flag-icon-ng
1events@2.1 odds,1events@2.59 odds,2s8s4,melbet,tx-10 flag-icon flag-icon-ng
7events@8.66 odds,4events@3.51 odds,FQ5DP6,sportybet,tx-10 flag-icon flag-icon-gh
2events@2.63 odds,2events@3.43 odds,ZP1T4,22bet,tx-10 flag-icon flag-icon-ng
12events@188.2 odds,12events@1.63 odds,QEYCPU,sportybet,tx-10 flag-icon flag-icon-ng
