site,code,odd,rate,email,price,post_time,post_date,booking_code_id,slip_result_link,platform_logo_link,result
sportybet:ng,XWZB37,1839.22,80,hello@bettingtipsnet.com,premium,13:44:04,2025-06-01,27396325,,0xFFFA0909,
sportybet:ng,ZPKAG4,11.42,55,hello@bettingtipsnet.com,free,13:44:04,2025-06-01,235414609,,0xFFFA0909,
sportybet:ng,XCM2FS,481.59,70,hello@bettingtipsnet.com,premium,13:44:04,2025-06-01,249328605,,0xFFFA0909,
1xbet:xx,MEZ3P,11181.36,80,hello@bettingtipsnet.com,premium,13:44:04,2025-06-01,214868268,,0xFF0982EC,
1xbet:xx,XSZ3P,561.8,80,hello@bettingtipsnet.com,premium,13:44:04,2025-06-01,244479373,,0xFF0982EC,
888starz,AXZ3P,561.59,80,hello@bettingtipsnet.com,premium,13:44:04,2025-06-01,311988639,,,
1xbet:xx,4F93P,2.51,75,hello@bettingtipsnet.com,free,13:44:04,2025-06-01,159578770,,0xFF0982EC,
sportybet:ng,TAXAHP,12.03,80,hello@bettingtipsnet.com,free,13:44:04,2025-06-01,171178885,,0xFFFA0909,
sportybet:ng,NF2HX5,5.93,75,hello@bettingtipsnet.com,free,13:44:04,2025-06-01,517507,,0xFFFA0909,
1xbet:ng,KE83P,11821.78,55,hello@bettingtipsnet.com,premium,13:44:04,2025-06-01,211598760,,0xFF0982EC,
1xbet:xx,CD83P,10.01,85,hello@bettingtipsnet.com,free,13:44:04,2025-06-01,137079713,,0xFF0982EC,
db_bet,3MT3P,15030.74,92,hello@bettingtipsnet.com,premium,13:44:04,2025-06-01,116917420,,0xFFFF5275,
1xbet:xx,VAS3P,4.3,85,hello@bettingtipsnet.com,free,13:44:04,2025-06-01,249770824,,0xFF0982EC,
sportybet:ng,RR2ARX,7095.73,75,hello@bettingtipsnet.com,premium,13:44:04,2025-06-01,80122447,,0xFFFA0909,
bet9ja,32RFH9Z,153.76,75,hello@bettingtipsnet.com,premium,13:44:04,2025-06-01,297559398,,0xFF097E36,
22bet,DB63P,182870500.98,87,hello@bettingtipsnet.com,premium,13:44:04,2025-06-01,238212472,,0xFF064146,
sportybet:ng,UD11ME,193.86,85,hello@bettingtipsnet.com,premium,13:44:04,2025-06-01,251369838,,0xFFFA0909,
1xbet:ng,AQP3P,20.65,75,hello@bettingtipsnet.com,free,13:44:04,2025-06-01,162831558,,0xFF0982EC,
1xbet:xx,NJK3P,175.41,55,hello@bettingtipsnet.com,premium,13:44:04,2025-06-01,307623138,,0xFF0982EC,
paripesa,UTL3P,137.71,80,hello@bettingtipsnet.com,premium,13:44:04,2025-06-01,21684087,,0xFF05117E,
paripesa,S6L3P,138.05,92,hello@bettingtipsnet.com,premium,13:44:04,2025-06-01,257503849,,0xFF05117E,
1xbet:bj,ARL3P,6.17,85,hello@bettingtipsnet.com,free,13:44:04,2025-06-01,199958886,,0xFF0982EC,
1xbet:xx,Y3J3P,2.6,87,hello@bettingtipsnet.com,free,13:44:04,2025-06-01,186673919,,0xFF0982EC,
paripesa,SJJ3P,38.88,85,hello@bettingtipsnet.com,free,13:44:04,2025-06-01,231431509,,0xFF05117E,
1xbet:xx,RV33P,222.34,75,hello@bettingtipsnet.com,premium,13:44:04,2025-06-01,42863055,,0xFF0982EC,
