ID,League,Fixture,Tip,Score,Match Date,Result,Code
145638,England: National League North,Buxton vs King’s Lynn,HOME DC,?:?,2026-02-24,?,udhjfxes234534415
145639,Indonesia: Super League,FC Bhayangkara vs Semen Padang,HOME DC,?:?,2026-02-24,?,souzqugk173033599
145643,England: National League,Scunthorpe vs York City,AWAY DC,?:?,2026-02-24,?,syvwjrao5610056
145650,England: National League North,Curzon Ashton vs Darlington,AWAY DC,?:?,2026-02-24,?,ommfnhro296058571
145653,Europe: Champions League - Play Offs,Bayer Leverkusen vs Olympiacos Piraeus,HOME DC,?:?,2026-02-24,?,tfnoohzn177058202
145657,Portugal: Liga Revelacao U23 - Losers Stage,Rio Ave U23 vs Vizela U23,HOME DC,?:?,2026-02-24,?,zyzkcmqy31940858
145660,India - Super League,Odisha vs Inter Kashi,12,,2026-02-24,?,lluptoky3758007
145676,India - Super League,Odisha vs Inter Kashi,12,,2026-02-24,?,lgzpynkw233907852
145707,UCL,Bayer Leverkusen vs Olympiacos FC,Over 1.5,?:?,2026-02-24,?,yibgfetl33626477
145708,Saudi Arabia: Saudi Professional League,Al Khaleej vs Al Kholood,HOME DC,?:?,2026-02-24,?,cdfsqape157278126
145710,England: National League,Wealdstone vs Brackley Town,HOME DC,?:?,2026-02-24,?,qjsduxdz225610509
145711,England: Southern League Premier Central,Alvechurch vs Real Bedford,AWAY DC,?:?,2026-02-24,?,kxxxbfzf101338205
145712,Portugal: Liga Revelacao U23 - Losers Stage,Gil Vicente U23 vs Portimonense U23,HOME DC,?:?,2026-02-24,?,zsnqecco169999896
145713,Romania: Liga 2,Concordia vs Corvinul,AWAY DC,?:?,2026-02-24,?,oyhuorum194426792
145714,England: Southern League Premier Central,Banbury vs Stratford,HOME DC,?:?,2026-02-24,?,esalyesi242430563
145715,Poland: Division 2,Zaglebie Sosnowiec vs Sandecja Nowy S.,HOME DC,?:?,2026-02-24,?,hnmijesw51680908
145719,England: National League,Scunthorpe vs York City,AWAY DC,?:?,2026-02-24,?,lardplhp13118035
145720,England: Championship,West Brom vs Charlton,HOME DC,?:?,2026-02-24,?,rzhvzlfs40013076
145722,Saudi Arabia: Division 1,Al Bukiryah vs Al Jandal,HOME DC,?:?,2026-02-24,?,fmrctxln138636341
