league,fixtures,tip,odd,match_time,score,date,flag,result,code,source,rate,avg_point,correct_score,fixtures_link,league_slug
NBA,Washington Wizards vs Charlotte Hornets,1116-114,,00:00,116,23-02-2026,United States - us,N/A,iewjvown181624564,fb_basketball,,230.5,116,https://www.forebet.com/en/basketball/matches/nba/washington-wizards-charlotte-hornets/245747,matches
USG,Rip City Remix vs Santa Cruz Warriors,1124-118,,00:00,124,23-02-2026,United States - us,N/A,etiqrdsn255247795,fb_basketball,,239.2,124,https://www.forebet.com/en/basketball/matches/nba-g-league/rip-city-remix-santa-cruz-warriors/257543,matches
USG,Stockton Kings vs Oklahoma City Blue,1117-108,,00:00,117,23-02-2026,United States - us,N/A,fvaurrty73833044,fb_basketball,,227,117,https://www.forebet.com/en/basketball/matches/nba-g-league/stockton-kings-oklahoma-city-blue/257544,matches
ARW,Quimsa W vs Hindu W,267-70,,00:00,70,23-02-2026,Argentina - ar,N/A,kyzpnbuz20749391,fb_basketball,,127.8,70,https://www.forebet.com/en/basketball/matches/liga-femenina-women/quimsa-w-hindu-w/271393,matches
NCAW,Minnesota W vs Michigan State W,181-69,,00:00,81,23-02-2026,United States - us,N/A,pcuvvdkz119241627,fb_basketball,,146.7,81,https://www.forebet.com/en/basketball/matches/ncaa-women/minnesota-w-michigan-state-w/272430,matches
NCAW,SMU Mustangs W vs Notre Dame W,261-66,,00:00,66,23-02-2026,United States - us,N/A,nknuhnce196268433,fb_basketball,,135.2,66,https://www.forebet.com/en/basketball/matches/ncaa-women/smu-mustangs-w-notre-dame-w/272431,matches
NBA,Los Angeles Lakers vs Boston Celtics,2107-110,,00:30,110,23-02-2026,United States - us,N/A,vsfcyjrz21347183,fb_basketball,,219.9,110,https://www.forebet.com/en/basketball/matches/nba/los-angeles-lakers-boston-celtics/245748,matches
LAA,Argentino vs Racing de Chivilcoy,275-84,,00:30,84,23-02-2026,Argentina - ar,N/A,xjklnmwv245382464,fb_basketball,,157.8,84,https://www.forebet.com/en/basketball/matches/liga-a/argentino-racing-de-chivilcoy/266255,matches
NBA,Minnesota Timberwolves vs Philadelphia 76ers,1112-111,,01:00,112,23-02-2026,United States - us,N/A,fhepaghp53812484,fb_basketball,,225.6,112,https://www.forebet.com/en/basketball/matches/nba/minnesota-timberwolves-philadelphia-76ers/245749,matches
NBA,Phoenix Suns vs Portland Trail Blazers,1116-108,,02:00,116,23-02-2026,United States - us,N/A,erhknxbu38968847,fb_basketball,,225.8,116,https://www.forebet.com/en/basketball/matches/nba/phoenix-suns-portland-trail-blazers/245751,matches
NBA,Los Angeles Clippers vs Orlando Magic,1107-106,,03:00,107,23-02-2026,United States - us,N/A,comwcplt285744324,fb_basketball,,217.8,107,https://www.forebet.com/en/basketball/matches/nba/los-angeles-clippers-orlando-magic/245752,matches
RW2,Enisey Krasnoyarsk W vs Samara W,172-70,,10:00,72,23-02-2026,Russia - ru,N/A,ycfewrfm278217943,fb_basketball,,142.3,72,https://www.forebet.com/en/basketball/matches/superleague-a-w/enisey-krasnoyarsk-w-samara-w/272634,matches
KRW,KB Stars W vs Hana Bank W,167-66,,11:00,67,23-02-2026,"Korea, Republic of - kr",N/A,tfwcljju8993935,fb_basketball,,131.9,67,https://www.forebet.com/en/basketball/matches/wkbl-w/kb-stars-w-hana-bank-w/259034,matches
KZW,Pavlodar W vs Zhetysu W,171-59,,13:00,71,23-02-2026,Kazakhstan - kz,N/A,gsqoscph92921517,fb_basketball,,133.6,71,https://www.forebet.com/en/basketball/matches/national-league-women/pavlodar-w-zhetysu-w/263660,matches
RW2,UMMC Ekaterinburg W vs Nadezhda W,180-59,,13:00,80,23-02-2026,Russia - ru,N/A,bclmvyjx20500466,fb_basketball,,143.1,80,https://www.forebet.com/en/basketball/matches/superleague-a-w/ummc-ekaterinburg-w-nadezhda-w/272635,matches
RW2,Spartak Moscow W vs Dynamo Moscow W,180-71,,14:00,80,23-02-2026,Russia - ru,N/A,ydbvoxnc63065003,fb_basketball,,150.6,80,https://www.forebet.com/en/basketball/matches/superleague-a-w/spartak-moscow-w-dynamo-moscow-w/272636,matches
TR2,Harem Spor vs Balikesir,194-83,,15:00,94,23-02-2026,Turkey - tr,N/A,piwehrpf268571865,fb_basketball,,176.6,94,https://www.forebet.com/en/basketball/matches/tbl-tr/harem-spor-balikesir/270519,matches
RW2,Dynamo Kursk W vs Nika Siktivkar W,182-61,,15:00,82,23-02-2026,Russia - ru,N/A,bvvgfdpq40370535,fb_basketball,,145,82,https://www.forebet.com/en/basketball/matches/superleague-a-w/dynamo-kursk-w-nika-siktivkar-w/272637,matches
DEA,Peiramatiko Machites vs Chalkida,277-88,,15:30,88,23-02-2026,Greece - gr,N/A,yffbncgx312808456,fb_basketball,,163.1,88,https://www.forebet.com/en/basketball/matches/a2/peiramatiko-machites-chalkida/248199,matches
RW2,MBA Moscow W vs Novosibirsk W,181-68,,17:00,81,23-02-2026,Russia - ru,N/A,izhtjasa147421832,fb_basketball,,148.9,81,https://www.forebet.com/en/basketball/matches/superleague-a-w/mba-moscow-w-novosibirsk-w/272638,matches
FI2,Huima vs Jyvaskyla,278-82,,17:30,82,23-02-2026,Finland - fi,N/A,qglzqziv150886056,fb_basketball,,164.7,82,https://www.forebet.com/en/basketball/matches/i-divisioona-a/huima-jyvaskyla/250572,matches
IL2,Elitzur Shomron vs Safed,188-74,,17:45,88,23-02-2026,Israel - il,N/A,gfnnfiqb41745597,fb_basketball,,166.8,88,https://www.forebet.com/en/basketball/matches/liga-leumit/elitzur-shomron-safed/253665,matches
PLW,Bochnia W vs Polonia Warszawa W,283-88,,18:00,88,23-02-2026,Poland - pl,N/A,skqbbhbo290955585,fb_basketball,,165.3,88,https://www.forebet.com/en/basketball/matches/energa-basket-liga-w/bochnia-w-polonia-warszawa-w/248011,matches
TR3,Ilkler Sehri Usak vs Ciftlikkoy Bld.,175-66,,18:30,75,23-02-2026,Turkey - tr,N/A,mmvkfcxr273825654,fb_basketball,,142,75,https://www.forebet.com/en/basketball/matches/tb2l/ilkler-sehri-usak-ciftlikkoy-bld/266166,matches
BH1,Al Ahli vs Al Hala,186-80,,18:30,86,23-02-2026,Bahrain - bh,N/A,gbdqjvnu332227403,fb_basketball,,164,86,https://www.forebet.com/en/basketball/matches/premier-league-bh/al-ahli-al-hala/272651,matches
BH1,Al Manama vs Al Muharraq,268-84,,20:30,84,23-02-2026,Bahrain - bh,N/A,oexzlpkg258215507,fb_basketball,,157.1,84,https://www.forebet.com/en/basketball/matches/premier-league-bh/al-manama-al-muharraq/272652,matches
EPL,Nottingham Forest vs Liverpool,2,,15:00,N/A,22-02-2026, - gb-en,N/A,tljovhwp47855724,fb_basketball,,N/A,N/A,https://www.forebet.com/en/football/matches/nottingham-forest-liverpool-2316008,matches
Ar1,Unión Santa Fe vs CA Aldosivi,1,,01:30,N/A,23-02-2026,Argentina - ar,N/A,zqghoore310854856,fb_basketball,,N/A,N/A,https://www.forebet.com/en/football/matches/unión-santa-fe-ca-aldosivi-2417208,matches
