league,fixtures,tip,odd,match_time,score,date,flag,result,code,source,rate,avg_point,correct_score,"fixtures_link, league_slug"
AFC,Pohang Steelers vs Gamba Osaka,Under,,11:00,N/A - N/A,12-02-2026, - 268,N/A,hruqrwcf13318447,fb_cornerkicks,54 - 46,8.86,N/A - N/A,https://www.forebet.com/en/football/matches/pohang-steelers-gamba-osaka-2423635,
Az2,Shahdagh Qusar vs Cəbrayıl,Under,,11:30,N/A - N/A,12-02-2026,Azerbaijan - az,N/A,wpyyeqta272092751,fb_cornerkicks,65 - 35,7.61,N/A - N/A,https://www.forebet.com/en/football/matches/shahdagh-qusar-cəbrayıl-2382438,
Az2,Baku Sporting vs MOIK Baku,Under,,11:30,N/A - N/A,12-02-2026,Azerbaijan - az,N/A,jxkexggj44963849,fb_cornerkicks,61 - 39,7.92,N/A - N/A,https://www.forebet.com/en/football/matches/baku-sporting-moik-baku-2382436,
Mk1,Academy Pandev vs Makedonija GP,Under,,13:00,N/A - N/A,12-02-2026,North Macedonia - mk,N/A,njmddovm166258701,fb_cornerkicks,83 - 17,4.44,N/A - N/A,https://www.forebet.com/en/football/matches/academy-pandev-makedonija-gp-2335766,
Sy1,Wathba Homs vs Al Shouleh,Under,,13:00,N/A - N/A,12-02-2026,Syrian Arab Republic - sy,N/A,uqulybhz108322580,fb_cornerkicks,86 - 14,1.38,N/A - N/A,https://www.forebet.com/en/football/matches/wathba-homs-al-shouleh-2425142,
BaC,SASK Napredak vs FK Laktasi,Under,,13:00,N/A - N/A,12-02-2026,Bosnia and Herzegovina - ba,N/A,spelqczh170170067,fb_cornerkicks,74 - 26,5.47,N/A - N/A,https://www.forebet.com/en/football/matches/sask-napredak-fk-laktasi-2423669,
XkC,FC Vushtrria vs KF Vëllaznimi,Under,,13:00,N/A - N/A,12-02-2026, - xk,N/A,ousdlxdw88121457,fb_cornerkicks,93 - 7,1.58,N/A - N/A,https://www.forebet.com/en/football/matches/fc-vushtrria-kf-vëllaznimi-2423651,
XkC,Gjilani vs KF Liria,Under,,13:00,N/A - N/A,12-02-2026, - xk,N/A,scndqhjg135056075,fb_cornerkicks,67 - 33,6.70,N/A - N/A,https://www.forebet.com/en/football/matches/gjilani-kf-liria-2423652,
XkC,KF Trepca '89 vs KF Malisheva,Under,,13:00,N/A - N/A,12-02-2026, - xk,N/A,iazrpqnn105790466,fb_cornerkicks,74 - 26,4.10,N/A - N/A,https://www.forebet.com/en/football/matches/kf-trepca-89-kf-malisheva-2423657,
AFC,Bangkok United vs Macarthur FC,Over,,13:15,N/A - N/A,12-02-2026, - 268,N/A,hzfcwiwx24272418,fb_cornerkicks,48 - 52,9.94,N/A - N/A,https://www.forebet.com/en/football/matches/bangkok-united-macarthur-fc-2423636,
second-division-a,Al Qanah vs Petrol Asyut,Under,,13:30,N/A - N/A,12-02-2026,Egypt - eg,N/A,kkrtluik132384973,fb_cornerkicks,94 - 6,1.17,N/A - N/A,https://www.forebet.com/en/football/matches/al-qanah-petrol-asyut-2422812,second-division-a
second-division-a,Masar vs Tanta FC,Under,,13:30,N/A - N/A,12-02-2026,Egypt - eg,N/A,qsvpaweo319993431,fb_cornerkicks,99 - 1,0.17,N/A - N/A,https://www.forebet.com/en/football/matches/masar-tanta-fc-2422816,second-division-a
Mk1,Pelister Bitola vs Rabotnicki Skopje,Under,,14:00,N/A - N/A,12-02-2026,North Macedonia - mk,N/A,yzrqwmee274353866,fb_cornerkicks,71 - 29,6.97,N/A - N/A,https://www.forebet.com/en/football/matches/pelister-bitola-rabotnicki-skopje-2335767,
premier-league,Man Utd Zambia vs Konkola Blades,Under,,14:00,N/A - N/A,12-02-2026,Zambia - zm,N/A,wdepgush61032546,fb_cornerkicks,82 - 18,2.84,N/A - N/A,https://www.forebet.com/en/football/matches/man-utd-zambia-konkola-blades-2419505,premier-league
premier-league,Napsa Stars vs Mufulira Wanderers,Under,,14:00,N/A - N/A,12-02-2026,Zambia - zm,N/A,dfmfdpgg116177502,fb_cornerkicks,78 - 22,4.07,N/A - N/A,https://www.forebet.com/en/football/matches/napsa-stars-mufulira-wanderers-2425186,premier-league
Tz1,Dodoma Jiji vs Kitayosce,Under,,14:00,N/A - N/A,12-02-2026,"Tanzania, United Republic of - tz",N/A,gclgjqef155099575,fb_cornerkicks,71 - 29,6.07,N/A - N/A,https://www.forebet.com/en/football/matches/dodoma-jiji-kitayosce-2425193,
Ug1,Mbarara City vs Calvary,Under,,14:00,N/A - N/A,12-02-2026,Uganda - ug,N/A,ppfcqsyg168308894,fb_cornerkicks,74 - 26,6.00,N/A - N/A,https://www.forebet.com/en/football/matches/mbarara-city-calvary-2424610,
Ug1,Police FC (UGA) vs Lugazi Municipal,Under,,14:00,N/A - N/A,12-02-2026,Uganda - ug,N/A,puquoovx193323277,fb_cornerkicks,62 - 38,8.50,N/A - N/A,https://www.forebet.com/en/football/matches/police-fc-(uga)-lugazi-municipal-2424611,
Ug1,Maroons FC vs Kitara FC,Under,,14:00,N/A - N/A,12-02-2026,Uganda - ug,N/A,ahwszqbt85727913,fb_cornerkicks,81 - 19,5.21,N/A - N/A,https://www.forebet.com/en/football/matches/maroons-fc-kitara-fc-2424612,
Az2,Sebail FK vs Shafa Baku,Under,,14:00,N/A - N/A,12-02-2026,Azerbaijan - az,N/A,horddpns54676925,fb_cornerkicks,72 - 28,6.62,N/A - N/A,https://www.forebet.com/en/football/matches/sebail-fk-shafa-baku-2382439,
