league,fixtures,tip,odd,match_time,score,date,flag,result,code,source,rate,avg_point,correct_score,"fixtures_link, league_slug"
QMJ,Newfoundland Regiment vs Drummondville Voltigeurs,1,,00:30,0 - 4,23-01-2026,Canada - ca,Lost,xuswsazu41030029,fb_hockey,54 - 46,5.4,0 - 4,https://www.forebet.com/en/hockey/matches/qmjhl/newfoundland-regiment-drummondville-voltigeurs/350170,qmjhl
QMJ,Cape Breton Eagles vs Halifax Mooseheads,1,,01:00,5 - 1,23-01-2026,Canada - ca,Won,yzorybil286029398,fb_hockey,60 - 40,6.4,5 - 1,https://www.forebet.com/en/hockey/matches/qmjhl/cape-breton-eagles-halifax-mooseheads/350171,qmjhl
QMJ,Charlottetown Islanders vs Sherbrooke Phoenix,1,,01:00,2 - 5,23-01-2026,Canada - ca,Lost,nnkbqtph222314211,fb_hockey,60 - 40,6.2,2 - 5,https://www.forebet.com/en/hockey/matches/qmjhl/charlottetown-islanders-sherbrooke-phoenix/350172,qmjhl
USHL,Des Moines Buccaneers vs Fargo Force,2,,02:00,3 - 2,23-01-2026,United States - us,Lost,ozxlgcat200523054,fb_hockey,44 - 56,7.1,3 - 2,https://www.forebet.com/en/hockey/matches/ushl/des-moines-buccaneers-fargo-force/348265,ushl
QMJ,Baie-Comeau Drakkar vs Moncton Wildcats,2,,02:00,1 - 4,23-01-2026,Canada - ca,Won,ydenkkay224970289,fb_hockey,32 - 68,7,1 - 4,https://www.forebet.com/en/hockey/matches/qmjhl/baie-comeau-drakkar-moncton-wildcats/350173,qmjhl
QMJ,Blainville-Boisbriand Armada vs Rouyn-Noranda Huskies,1,,02:00,5 - 0,23-01-2026,Canada - ca,Won,sszcaero176508126,fb_hockey,53 - 47,7.2,5 - 0,https://www.forebet.com/en/hockey/matches/qmjhl/blainville-boisbriand-armada-rouyn-noranda-huskies/350174,qmjhl
NHL,Boston Bruins vs Vegas Golden Knights,1,,02:00,4 - 3,23-01-2026,United States - us,Won,edlpdthx147843095,fb_hockey,55 - 45,5.1,4 - 3,https://www.forebet.com/en/hockey/matches/nhl/boston-bruins-vegas-golden-knights/351721,nhl
NHL,Carolina Hurricanes vs Chicago Blackhawks,1,,02:00,3 - 4,23-01-2026,United States - us,Lost,vnljyiex303326709,fb_hockey,70 - 30,5.6,3 - 4,https://www.forebet.com/en/hockey/matches/nhl/carolina-hurricanes-chicago-blackhawks/351722,nhl
NHL,Columbus Blue Jackets vs Dallas Stars,1,,02:00,1 - 0,23-01-2026,United States - us,Won,qajxlfxy103622075,fb_hockey,54 - 46,6.1,1 - 0,https://www.forebet.com/en/hockey/matches/nhl/columbus-blue-jackets-dallas-stars/351723,nhl
NHL,Montreal Canadiens vs Buffalo Sabres,1,,02:00,2 - 4,23-01-2026,United States - us,Lost,zcexovpl197651721,fb_hockey,54 - 46,6.8,2 - 4,https://www.forebet.com/en/hockey/matches/nhl/montreal-canadiens-buffalo-sabres/351724,nhl
OHL,North Bay Battalion vs Brantford Bulldogs,2,,02:00,5 - 4,23-01-2026,Canada - ca,Lost,vpynvkjv185756981,fb_hockey,47 - 53,6.8,5 - 4,https://www.forebet.com/en/hockey/matches/ohl/north-bay-battalion-brantford-bulldogs/353553,ohl
OHL,Niagara IceDogs vs Barrie Colts,2,,02:00,3 - 5,23-01-2026,Canada - ca,Won,bfyuwpuv217607685,fb_hockey,36 - 64,7.9,3 - 5,https://www.forebet.com/en/hockey/matches/ohl/niagara-icedogs-barrie-colts/353554,ohl
AHL,Cleveland Monsters vs Chicago Wolves,2,,02:00,7 - 6,23-01-2026,United States - us,Lost,sgblbmdm281291718,fb_hockey,43 - 57,5.7,7 - 6,https://www.forebet.com/en/hockey/matches/ahl/cleveland-monsters-chicago-wolves/354453,ahl
NCAA,Merrimack Warriors vs Northeastern Huskies,2,,02:00,4 - 1,23-01-2026,United States - us,Lost,rzmlqcdu244275004,fb_hockey,49 - 51,5.8,4 - 1,https://www.forebet.com/en/hockey/matches/ncaa/merrimack-warriors-northeastern-huskies/356507,ncaa
OHL,Peterborough Petes vs Saginaw Spirit,1,,02:05,1 - 4,23-01-2026,Canada - ca,Lost,joijyord103540171,fb_hockey,60 - 40,6.4,1 - 4,https://www.forebet.com/en/hockey/matches/ohl/peterborough-petes-saginaw-spirit/353555,ohl
LNA,Petroliers Laval vs Eperviers Sorel-Tracy,1,,02:30,5 - 3,23-01-2026,Canada - ca,Won,tflmibxf277504212,fb_hockey,60 - 40,7.3,5 - 3,https://www.forebet.com/en/hockey/matches/lnah/petroliers-laval-eperviers-sorel-tracy/352423,lnah
WHL,Moose Jaw Warriors vs Prince Albert Raiders,2,,03:00,2 - 3,23-01-2026,Canada - ca,Won,ccgrsarc1033190,fb_hockey,25 - 75,7.3,2 - 3,https://www.forebet.com/en/hockey/matches/whl/moose-jaw-warriors-prince-albert-raiders/342010,whl
NHL,Nashville Predators vs Ottawa Senators,1,,03:00,5 - 3,23-01-2026,United States - us,Won,nbbkyebu114653274,fb_hockey,53 - 47,6,5 - 3,https://www.forebet.com/en/hockey/matches/nhl/nashville-predators-ottawa-senators/351725,nhl
NHL,Winnipeg Jets vs Florida Panthers,1,,03:00,1 - 2,23-01-2026,United States - us,Lost,brkwmjrr125081294,fb_hockey,60 - 40,5.9,1 - 2,https://www.forebet.com/en/hockey/matches/nhl/winnipeg-jets-florida-panthers/351726,nhl
NHL,Edmonton Oilers vs Pittsburgh Penguins,1,,04:00,2 - 6,23-01-2026,United States - us,Lost,ickouptm321942271,fb_hockey,52 - 48,6.3,2 - 6,https://www.forebet.com/en/hockey/matches/nhl/edmonton-oilers-pittsburgh-penguins/351727,nhl
