league,fixtures,tip,odd,match_time,score,date,flag,result,code,source,protip
Guatemala - Liga Nacional,Guastatoya vs Dep. Mixco,1X,1.32,00:00,2 - 0,23-01-2026,,Won,fadeslwo283002385,prima_tips,
Argentina - Liga Profesional,Central Cordoba vs Gimnasia Mendoza,1X,1.25,01:15,0 - 1,23-01-2026,,Lost,rnqoqkaw5952458,prima_tips,
Iran - Pro League,Gol Gohar vs Fajr Sepasi,1X,1.33,12:00,2 - 0,23-01-2026,,Won,edrkiamd298225902,prima_tips,
Burundi - Premier League,Muzinga vs Olympique Star,1X,1.22,13:00,2 - 1,23-01-2026,,Won,oehzbkce2356554,prima_tips,
France - Championnat National,Le Puy Foot 43 vs Valenciennes,1X,1.31,18:30,3 - 0,23-01-2026,,Won,cgkwcwrp60661758,prima_tips,
France - Ligue 2,Annecy vs Clermont Foot,1X,1.29,19:00,2 - 1,23-01-2026,,Won,tihpyvwy199593212,prima_tips,
Netherlands - Eerste Divisie,Roda Kerkrade vs TOP Oss,1X,1.13,19:00,1 - 2,23-01-2026,,Lost,wsuumehn289436167,prima_tips,
Scotland - Championship,Arbroath vs Greenock Morton,1X,1.18,19:45,1 - 1,23-01-2026,,Won,mkurkaor48995980,prima_tips,
Wales - Relegation,Cardiff Met vs Haverfordwest,1X,1.35,19:45,0 - 2,23-01-2026,,Lost,kqojhjpg186290970,prima_tips,
Argentina - Liga Profesional,San Lorenzo vs Lanus,1X,1.29,22:00,2 - 3,23-01-2026,,Lost,oiofkrki53123949,prima_tips,
Argentina - Liga Profesional,Independiente vs Estudiantes LP,1X,1.29,23:00,1 - 1,23-01-2026,,Won,yibztfax134484400,prima_tips,
Colombia - Primera A,Inter Bogota vs Cucuta Dep.,1X,1.33,23:20,2 - 1,23-01-2026,,Won,wzgwbpcc38077303,prima_tips,
Club Friendly,Siauliai vs Banga Gargzdai,12,1.29,11:00,1 - 4,23-01-2026,,Won,fpbpfqgl167415939,prima_tips,
Club Friendly,TPS Turku vs Haka,12,1.24,11:00,1 - 2,23-01-2026,,Won,ekbwqhcw305603130,prima_tips,
Iran - Pro League,Esteghlal Kh. vs Paykan,12,1.46,11:30,0 - 0,23-01-2026,,Lost,cbsttjrz86085595,prima_tips,
Club Friendly,Lillestrom vs Sandefjord,12,1.27,12:00,1 - 2,23-01-2026,,Won,gkisuefv14785049,prima_tips,
Club Friendly,Hertha Wels vs Taborsko,12,1.24,13:00,0 - 3,23-01-2026,,Won,ewpomtqv28816906,prima_tips,
Club Friendly,Nordsjaelland vs Philadelphia Un,12,1.21,13:00,2 - 1,23-01-2026,,Won,utbhvbmb141287937,prima_tips,
Tunisia - Ligue Professionnelle 1,Ben Guerdane vs AS La Marsa,12,1.41,13:00,1 - 0,23-01-2026,,Won,upgfnmxm286585292,prima_tips,
Algeria - National,ASO Chlef vs Paradou AC,12,1.34,15:00,2 - 0,23-01-2026,,Won,zpfzldvo103118313,prima_tips,
International,Al-Wahda vs Al-Duhail,12,1.26,16:00,1 - 0,23-01-2026,,Won,vdkdpbwu155409799,prima_tips,
France - Ligue 2,Amiens vs Laval,12,1.36,19:00,0 - 0,23-01-2026,,Lost,ybjocrbz219140033,prima_tips,
Italy - Serie B,Carrarese vs Empoli,12,1.36,19:30,3 - 0,23-01-2026,,Won,vazvowry209718801,prima_tips,
Spain - La Liga 2,Malaga vs Burgos,12,1.36,19:30,3 - 0,23-01-2026,,Won,vypfofey286980011,prima_tips,
Belgium - Pro League,Standard Liege vs KAA Gent,12,1.36,19:45,0 - 4,23-01-2026,,Won,mqeahmtj123872752,prima_tips,
