league,fixtures,tip,odd,match_time,score,date,flag,result,code,source,protip
Club Friendly,Mont. City Torque vs Deportes Concepcion,1X,1.32,01:00,2 - 0,24-01-2026,,Won,utqdrtwh89389720,primalow_tips,
Argentina - Liga Profesional,Ind. Rivadavia vs Atl. Tucuman,1X,1.29,01:15,2 - 1,24-01-2026,,Won,blpwdryp106499578,primalow_tips,
Australia - A-League,Auckland FC vs CC Mariners,1,1.30,04:00,2 - 2,24-01-2026,,Lost,arzbmqht215059571,primalow_tips,
Indonesia - Super League,Malut United vs Persik Kediri,1,1.47,06:30,4 - 0,24-01-2026,,Won,ugvjistv67986914,primalow_tips,
Club Friendly,FCI Levadia vs Parnu Vaprus,1,1.43,10:00,,24-01-2026,,Not yet,jwzdqkfa25087949,primalow_tips,
Club Friendly,Grazer AK vs ASK Voitsberg,1,1.42,10:00,,24-01-2026,,Not yet,nfgsjcce144241433,primalow_tips,
Club Friendly,Liefering vs Dukla Prague,12,1.28,10:00,,24-01-2026,,Not yet,hyfmnxec7227599,primalow_tips,
Club Friendly,Vlasim vs Usti nad Labem,12,1.28,10:00,,24-01-2026,,Not yet,gfbvdaco233453777,primalow_tips,
Club Friendly,Zaglebie Sosn. vs Podbeskidzie,12,1.30,10:00,,24-01-2026,,Not yet,dbcyvlvw213797062,primalow_tips,
Club Friendly,Blau-Weiss Linz vs Admira Wacker,12,1.26,11:00,,24-01-2026,,Not yet,tkqyzyio76273194,primalow_tips,
Club Friendly,HB Koge vs AB Gladsaxe,12,1.26,11:00,,24-01-2026,,Not yet,sfhslrmj186210384,primalow_tips,
Kenya - Premier League,APS Bomet vs Shabana,X2,1.27,11:00,,24-01-2026,,Not yet,xkydfajs31505754,primalow_tips,
Kenya - Premier League,Mara Sugar vs Kenya Police,X2,1.22,11:00,,24-01-2026,,Not yet,dwjhqcqw70634213,primalow_tips,
Portugal - Liga Portugal 2,Chaves vs Lusitania,1X,1.20,11:00,,24-01-2026,,Not yet,cpdmvnfz288683897,primalow_tips,
Vietnam - Vietnamese Cup,PVF-CAND vs HA Gia Lai,1X,1.23,11:00,,24-01-2026,,Not yet,jwkrihoi304653012,primalow_tips,
Club Friendly,Tatran Presov vs Dukla B. Bystrica,12,1.27,11:30,,24-01-2026,,Not yet,ufngzwfl268294187,primalow_tips,
Hungary - NB I,Nyiregyhaza Sp. vs Ujpest,X2,1.44,11:30,,24-01-2026,,Not yet,espxtmea76200060,primalow_tips,
Singapore - Premier,Hougang Utd vs Lion City Sail.,2,1.18,11:30,,24-01-2026,,Not yet,rfoxsvny191436381,primalow_tips,
Thailand - Thai League 1,Bangkok Utd vs Chonburi,1,1.46,11:30,,24-01-2026,,Not yet,fyvhkars39719575,primalow_tips,
Finland - League Cup,Inter Turku vs IFK Mariehamn,1,1.29,12:00,,24-01-2026,,Not yet,oetphbos225597501,primalow_tips,
Club Friendly,Zlin vs Lokomotiv Sofia,12,1.28,12:00,,24-01-2026,,Not yet,pyhiiszo131185146,primalow_tips,
Germany - 2. Bundesliga,Greuther Furth vs E. Braunschweig,X2,1.50,12:00,,24-01-2026,,Not yet,wlrcjouk258723546,primalow_tips,
Germany - 2. Bundesliga,Karlsruher vs Hertha Berlin,X2,1.33,12:00,,24-01-2026,,Not yet,qyvftqzr332252390,primalow_tips,
Indonesia - Super League,Persijap Jepara vs PSM Makassar,X2,1.35,12:00,,24-01-2026,,Not yet,xtlpqwfq201399600,primalow_tips,
Kenya - Premier League,Bandari vs Kariobangi Sharks,1X,1.19,12:00,,24-01-2026,,Not yet,rtznqbrg153309700,primalow_tips,
