league,fixtures,tip,odd,match_time,score,date,flag,result,code,source,rate,avg_point,correct_score,fixtures_link, league_slug
,T. Droguet vs A. Kovacevic,1,,13:10,2 - 1,05-02-2026,France - fr,Won,aroxsqlb224640938,fb_tennis,69 - 31,12.5,score_text,https://www.forebet.com/en/tennis/matches/atp-singles/montpellier/t-droguet-a-kovacevic/343597,atp-singles
,T. Griekspoor vs P. Carreno-Busta,2,,14:40,2 - 0,05-02-2026,France - fr,Lost,togergae159554610,fb_tennis,47 - 53,10.3,score_text,https://www.forebet.com/en/tennis/matches/atp-singles/montpellier/t-griekspoor-p-carreno-busta/343546,atp-singles
,L. Nardi vs F. Cobolli,1,,16:05,2 - 0,05-02-2026,France - fr,Won,xstesxby300763618,fb_tennis,56 - 44,9.5,score_text,https://www.forebet.com/en/tennis/matches/atp-singles/montpellier/l-nardi-f-cobolli/343588,atp-singles
,F. Auger-Aliassime vs S. Wawrinka,1,,18:40,2 - 0,05-02-2026,France - fr,Won,vkckwlza156409741,fb_tennis,57 - 43,11.2,score_text,https://www.forebet.com/en/tennis/matches/atp-singles/montpellier/f-auger-aliassime-s-wawrinka/343604,atp-singles
,U. Blanchet vs A. Fils,2,,20:50,0 - 2,05-02-2026,France - fr,Won,rjuswfno187943018,fb_tennis,30 - 70,10.3,score_text,https://www.forebet.com/en/tennis/matches/atp-singles/montpellier/u-blanchet-a-fils/343572,atp-singles
,V. Durasovic vs J. Draper,2,,18:00,0 - 2,05-02-2026, - 2392,Won,dmlswfdc330683094,fb_tennis,48 - 52,10.6,score_text,https://www.forebet.com/en/tennis/matches/atp-singles/davis-cup-world-group/v-durasovic-j-draper/343598,atp-singles
,N. Budkov Kjaer vs C. Norrie,2,,19:30,0 - 2,05-02-2026, - 2392,Won,xlkflawe91568825,fb_tennis,47 - 53,10.2,score_text,https://www.forebet.com/en/tennis/matches/atp-singles/davis-cup-world-group/n-budkov-kjaer-c-norrie/343599,atp-singles
,K. Volynets vs A. Parks,2,,14:10,2 - 1,05-02-2026,Czech Republic - cz,Lost,owvyotkw297882211,fb_tennis,41 - 59,8.9,score_text,https://www.forebet.com/en/tennis/matches/wta-singles/ostrava/k-volynets-a-parks/343569,wta-singles
,L. Fruhvirtova vs K. Boulter,2,,16:50,0 - 2,05-02-2026,Czech Republic - cz,Won,zyklwtki292362368,fb_tennis,48 - 52,10.1,score_text,https://www.forebet.com/en/tennis/matches/wta-singles/ostrava/l-fruhvirtova-k-boulter/343594,wta-singles
,D. Parry vs N. Bartunkova,2,,18:15,2 - 0,05-02-2026,Czech Republic - cz,Lost,xhrmhmpq257570276,fb_tennis,47 - 53,9.1,score_text,https://www.forebet.com/en/tennis/matches/wta-singles/ostrava/d-parry-n-bartunkova/343611,wta-singles
,C. McNally vs T. Korpatsch,1,,19:40,0 - 2,05-02-2026,Czech Republic - cz,Lost,mvowqavr308345793,fb_tennis,55 - 45,10.8,score_text,https://www.forebet.com/en/tennis/matches/wta-singles/ostrava/c-mcnally-t-korpatsch/343590,wta-singles
,C. Tauson vs M. Kessler,2,,10:10,2 - 0,05-02-2026,United Arab Emirates - ae,Lost,cvskviub21840271,fb_tennis,46 - 54,11.9,score_text,https://www.forebet.com/en/tennis/matches/wta-singles/abu-dhabi/c-tauson-m-kessler/343561,wta-singles
,S. Kartal vs S. Bejlek,2,,12:00,0 - 2,05-02-2026,United Arab Emirates - ae,Won,sxikvgwr122984094,fb_tennis,46 - 54,10.1,score_text,https://www.forebet.com/en/tennis/matches/wta-singles/abu-dhabi/s-kartal-s-bejlek/343595,wta-singles
,A. Eala vs E. Alexandrova,1,,14:10,0 - 2,05-02-2026,United Arab Emirates - ae,Lost,nexsalle63465584,fb_tennis,55 - 45,10.4,score_text,https://www.forebet.com/en/tennis/matches/wta-singles/abu-dhabi/a-eala-e-alexandrova/343606,wta-singles
,L. Samsonova vs H. Baptiste,1,,16:00,1 - 2,05-02-2026,United Arab Emirates - ae,Lost,kvimnaus306663446,fb_tennis,52 - 47,9.2,score_text,https://www.forebet.com/en/tennis/matches/wta-singles/abu-dhabi/l-samsonova-h-baptiste/343552,wta-singles
,Xin. Wang vs O. Oliynykova,2,,13:10,0 - 2,05-02-2026,Romania - ro,Won,gafmggwq125182155,fb_tennis,48 - 52,9.9,score_text,https://www.forebet.com/en/tennis/matches/wta-singles/cluj-napoca/xin-wang-o-oliynykova/343586,wta-singles
,E. Raducanu vs M. Chwalinska,1,,15:25,2 - 0,05-02-2026,Romania - ro,Won,atfyzykt120818942,fb_tennis,51 - 49,9.4,score_text,https://www.forebet.com/en/tennis/matches/wta-singles/cluj-napoca/e-raducanu-m-chwalinska/343609,wta-singles
,A. Potapova vs S. Cirstea,1,,17:10,0 - 2,05-02-2026,Romania - ro,Lost,vfrchtvy285688699,fb_tennis,57 - 43,11.5,score_text,https://www.forebet.com/en/tennis/matches/wta-singles/cluj-napoca/a-potapova-s-cirstea/343607,wta-singles
,Y. Yuan vs D. Snigur,2,,19:25,1 - 2,05-02-2026,Romania - ro,Won,lywnjagm1130452,fb_tennis,47 - 53,9.4,score_text,https://www.forebet.com/en/tennis/matches/wta-singles/cluj-napoca/y-yuan-d-snigur/343596,wta-singles
,T. Gentzsch vs M. Krumich,1,,12:05,2 - 0,05-02-2026,Germany - de,Won,jddmvagn207443568,fb_tennis,69 - 31,10.5,score_text,https://www.forebet.com/en/tennis/matches/challenger-men/koblenz/t-gentzsch-m-krumich/343566,challenger-men
