league,match,prediction_type,tip,date,odd
Conference Leag,Betis - Chelsea,GG/NG,yes,"May 28, 19:00.utc",1.92
2.null,psg - inter,,,"Jan 1, 01:00.utc",1.1
3.Eliteserien,Bodoe\/Glimt - Viking FK,GG/NG,yes,"May 28, 19:00.utc",1.5
League One,Canterbury Bankstown FC - Bull FC Academy,GG/NG,yes,"May 31, 11:00.utc",1.45
Eliteserien,Brann - Molde,Both Teams To Score,both teams to score - yes,"May 29, 16:00.utc",1.58
League,Ceramica Cleopatra - Pyramids FC,GG/NG,yes,"May 28, 17:00.utc",1.86
League One,Newcastle Jets Youth - Blacktown Spartans,GG/NG,yes,"May 31, 13:00.utc",1.38
League One,SD Raiders FC - Hakoah,GG/NG,yes,"May 31, 13:00.utc",1.36
NPL 1,APIA Leichhardt - Central Coast Mariners Academy,GG/NG,yes,"May 31, 12:00.utc",1.6
Premier L,Pine Hills - Samford Rangers,GG/NG,yes,"May 31, 12:00.utc",1.27
Premier Lea,Caroline Springs George Cross FC - FC Bulleen Lions,GG/NG,yes,"May 31, 11:30.utc",1.25
Australia NP,Balcatta - Perth Glory FC,GG/NG,yes,"May 31, 11:00.utc",1.44
2,Fujieda MYFC - Montedio Yamagata,GG/NG,yes,"May 31, 09:00.utc",1.65
NPL 1,Cooma Tigers - Monaro Panthers FC,GG/NG,yes,"May 31, 09:00.utc",1.41
NPL 1,Western Sydney Wanderers Youth - Sydney Olympic FC,GG/NG,yes,"May 31, 09:00.utc",1.42
NPL,Brisbane Roar FC - Peninsula Power FC,GG/NG,yes,"May 31, 09:00.utc",1.49
NPL,Devonport City SC - Kingborough Lions United FC,GG/NG,yes,"May 31, 08:30.utc",1.44
Premier Lea,Vancouver Langley FC - Atletico Ottawa,GG/NG,yes,"May 31, 06:00.utc",1.55
Lig,Fatih Karagumruk Istanbul - Bandirmaspor,GG/NG,yes,"May 29, 17:00.utc",1.62
MLS,New York Red Bulls - Charlotte,Both Teams To Score,both teams to score - yes,"May 28, 22:30.utc",1.67
League Soccer,Columbus Crew - Nashville SC,Goal / No Goal,GG,"May 28, 23:00.utc",1.63
League,AL Ahly SC (EGY) - Pharco FC,GG/NG,yes,"May 28, 17:00.utc",2.45
Premier L,Brisbane Strikers FC - Capalaba Bulldogs,GG/NG,yes,"May 31, 12:00.utc",1.33
Premier L,Broadbeach United - SWQ Thunder FC,GG/NG,yes,"May 31, 11:15.utc",1.34
Australia NP,Armadale SC - Stirling Macedonia FC,GG/NG,yes,"May 31, 11:00.utc",1.37
Australia NP,Olympic Kingsway SC - Perth SC,GG/NG,yes,"May 31, 11:00.utc",1.47
League One,Dulwich Hill - University of Nsw,GG/NG,yes,"May 31, 11:00.utc",1.63
League One,Macarthur Rams - Bankstown City FC,GG/NG,yes,"May 31, 11:00.utc",1.48
League One,Rydalmere Lions FC - Inter Lions FC,GG/NG,yes,"May 31, 11:00.utc",1.4
League One,Northern Tigers - Mounties Wanderers FC,GG/NG,yes,"May 31, 10:15.utc",1.61
"NPL, Women",Heidelberg United FC - Essendon Royals SC,GG/NG,yes,"May 31, 10:15.utc",1.32
Premier L,Redlands United FC - Holland Park Hawks,GG/NG,yes,"May 31, 10:00.utc",1.33
Australia NPL,Playford City - Croydon FC,GG/NG,yes,"May 31, 09:30.utc",1.34
NPL,Altona Magic SC - Preston Lions FC,GG/NG,yes,"May 31, 09:15.utc",1.58
"NPL, Women",Brunswick Juventus FC - FC Bulleen Lions,GG/NG,yes,"May 31, 09:00.utc",1.5
Australia NPL,Adelaide Comets FC - Modbury Jets SC,GG/NG,yes,"May 31, 09:00.utc",1.47
Premier L,Magic United Tfa - Southside Eagles,GG/NG,yes,"May 31, 09:00.utc",1.31
"NPL, Women",NWS Spirit FC - MT Druitt Town Rangers,GG/NG,yes,"May 31, 09:00.utc",1.49
"NPL, Women",Alamein FC - Spring Hills FC,GG/NG,yes,"May 31, 09:00.utc",1.47
NPL,Launceston United Soccer Club - Riverside Olympic FC,GG/NG,yes,"May 31, 06:15.utc",1.32
League,Ghazl El Mahallah - Ismaily SC,GG/NG,yes,"May 29, 17:00.utc",2.8
